[Epoch 37/120] Train Loss: 0.6223 | Val Loss: 0.6941 (EMA) | Val Acc: 0.8773 (Best: 0.8767) | lr: 2.44e-04 | time/epoch: 115.1s
[Epoch 38/120] Train Loss: 0.6127 | Val Loss: 0.6901 (EMA) | Val Acc: 0.8794 (Best: 0.8773) | lr: 2.41e-04 | time/epoch: 115.7s
[Epoch 39/120] Train Loss: 0.6096 | Val Loss: 0.6873 (EMA) | Val Acc: 0.8813 (Best: 0.8794) | lr: 2.38e-04 | time/epoch: 115.7s
[Epoch 40/120] Train Loss: 0.6000 | Val Loss: 0.6856 (EMA) | Val Acc: 0.8829 (Best: 0.8813) | lr: 2.34e-04 | time/epoch: 116.1s
[Epoch 41/120] Train Loss: 0.5979 | Val Loss: 0.6835 (EMA) | Val Acc: 0.8810 (Best: 0.8829) | lr: 2.31e-04 | time/epoch: 115.0s
[Epoch 42/120] Train Loss: 0.5924 | Val Loss: 0.6815 (EMA) | Val Acc: 0.8834 (Best: 0.8829) | lr: 2.28e-04 | time/epoch: 115.3s
[Epoch 43/120] Train Loss: 0.5832 | Val Loss: 0.6800 (EMA) | Val Acc: 0.8847 (Best: 0.8834) | lr: 2.24e-04 | time/epoch: 115.5s
[Epoch 44/120] Train Loss: 0.5740 | Val Loss: 0.6758 (EMA) | Val Acc: 0.8874 (Best: 0.8847) | lr: 2.21e-04 | time/epoch: 115.4s
[Epoch 45/120] Train Loss: 0.5758 | Val Loss: 0.6760 (EMA) | Val Acc: 0.8850 (Best: 0.8874) | lr: 2.17e-04 | time/epoch: 115.8s
[Epoch 46/120] Train Loss: 0.5712 | Val Loss: 0.6715 (EMA) | Val Acc: 0.8882 (Best: 0.8874) | lr: 2.13e-04 | time/epoch: 115.0s
[Epoch 47/120] Train Loss: 0.5686 | Val Loss: 0.6698 (EMA) | Val Acc: 0.8884 (Best: 0.8882) | lr: 2.10e-04 | time/epoch: 115.0s
[Epoch 48/120] Train Loss: 0.5592 | Val Loss: 0.6705 (EMA) | Val Acc: 0.8874 (Best: 0.8884) | lr: 2.06e-04 | time/epoch: 114.7s
[Epoch 49/120] Train Loss: 0.5609 | Val Loss: 0.6683 (EMA) | Val Acc: 0.8866 (Best: 0.8884) | lr: 2.02e-04 | time/epoch: 115.8s
[Epoch 50/120] Train Loss: 0.5537 | Val Loss: 0.6650 (EMA) | Val Acc: 0.8879 (Best: 0.8884) | lr: 1.98e-04 | time/epoch: 115.4s
[Epoch 51/120] Train Loss: 0.5481 | Val Loss: 0.6646 (EMA) | Val Acc: 0.8860 (Best: 0.8884) | lr: 1.94e-04 | time/epoch: 115.2s
[Epoch 52/120] Train Loss: 0.5405 | Val Loss: 0.6616 (EMA) | Val Acc: 0.8887 (Best: 0.8884) | lr: 1.90e-04 | time/epoch: 115.1s
[Epoch 53/120] Train Loss: 0.5396 | Val Loss: 0.6589 (EMA) | Val Acc: 0.8876 (Best: 0.8887) | lr: 1.87e-04 | time/epoch: 115.2s
[Epoch 54/120] Train Loss: 0.5356 | Val Loss: 0.6568 (EMA) | Val Acc: 0.8911 (Best: 0.8887) | lr: 1.83e-04 | time/epoch: 115.5s
[Epoch 55/120] Train Loss: 0.5304 | Val Loss: 0.6564 (EMA) | Val Acc: 0.8946 (Best: 0.8911) | lr: 1.79e-04 | time/epoch: 117.9s
[Epoch 56/120] Train Loss: 0.5308 | Val Loss: 0.6557 (EMA) | Val Acc: 0.8903 (Best: 0.8946) | lr: 1.75e-04 | time/epoch: 140.5s
[Epoch 57/120] Train Loss: 0.5199 | Val Loss: 0.6564 (EMA) | Val Acc: 0.8898 (Best: 0.8946) | lr: 1.71e-04 | time/epoch: 118.1s
[Epoch 58/120] Train Loss: 0.5223 | Val Loss: 0.6553 (EMA) | Val Acc: 0.8882 (Best: 0.8946) | lr: 1.67e-04 | time/epoch: 118.9s
[Epoch 59/120] Train Loss: 0.5148 | Val Loss: 0.6535 (EMA) | Val Acc: 0.8914 (Best: 0.8946) | lr: 1.63e-04 | time/epoch: 116.4s
[Epoch 60/120] Train Loss: 0.5124 | Val Loss: 0.6534 (EMA) | Val Acc: 0.8919 (Best: 0.8946) | lr: 1.59e-04 | time/epoch: 117.2s
[Epoch 61/120] Train Loss: 0.5080 | Val Loss: 0.6525 (EMA) | Val Acc: 0.8938 (Best: 0.8946) | lr: 1.55e-04 | time/epoch: 116.1s
[Epoch 62/120] Train Loss: 0.5012 | Val Loss: 0.6529 (EMA) | Val Acc: 0.8946 (Best: 0.8946) | lr: 1.50e-04 | time/epoch: 121.3s
[Epoch 63/120] Train Loss: 0.5049 | Val Loss: 0.6520 (EMA) | Val Acc: 0.8964 (Best: 0.8946) | lr: 1.46e-04 | time/epoch: 118.6s
[Epoch 64/120] Train Loss: 0.4965 | Val Loss: 0.6487 (EMA) | Val Acc: 0.8980 (Best: 0.8964) | lr: 1.42e-04 | time/epoch: 117.0s
[Epoch 65/120] Train Loss: 0.4935 | Val Loss: 0.6469 (EMA) | Val Acc: 0.8996 (Best: 0.8980) | lr: 1.38e-04 | time/epoch: 119.2s
[Epoch 66/120] Train Loss: 0.4848 | Val Loss: 0.6480 (EMA) | Val Acc: 0.8986 (Best: 0.8996) | lr: 1.34e-04 | time/epoch: 116.5s
[Epoch 67/120] Train Loss: 0.4874 | Val Loss: 0.6479 (EMA) | Val Acc: 0.8983 (Best: 0.8996) | lr: 1.30e-04 | time/epoch: 115.9s
[Epoch 68/120] Train Loss: 0.4815 | Val Loss: 0.6507 (EMA) | Val Acc: 0.8959 (Best: 0.8996) | lr: 1.26e-04 | time/epoch: 115.6s
[Epoch 69/120] Train Loss: 0.4834 | Val Loss: 0.6501 (EMA) | Val Acc: 0.8940 (Best: 0.8996) | lr: 1.22e-04 | time/epoch: 115.3s
[Epoch 70/120] Train Loss: 0.4788 | Val Loss: 0.6497 (EMA) | Val Acc: 0.8967 (Best: 0.8996) | lr: 1.18e-04 | time/epoch: 115.7s
[Epoch 71/120] Train Loss: 0.4780 | Val Loss: 0.6510 (EMA) | Val Acc: 0.8988 (Best: 0.8996) | lr: 1.14e-04 | time/epoch: 114.8s
[Epoch 72/120] Train Loss: 0.4747 | Val Loss: 0.6492 (EMA) | Val Acc: 0.9010 (Best: 0.8996) | lr: 1.11e-04 | time/epoch: 115.4s
[Epoch 73/120] Train Loss: 0.4729 | Val Loss: 0.6489 (EMA) | Val Acc: 0.9012 (Best: 0.9010) | lr: 1.07e-04 | time/epoch: 115.1s
[Epoch 74/120] Train Loss: 0.4677 | Val Loss: 0.6482 (EMA) | Val Acc: 0.8991 (Best: 0.9012) | lr: 1.03e-04 | time/epoch: 115.5s
[Epoch 75/120] Train Loss: 0.4634 | Val Loss: 0.6465 (EMA) | Val Acc: 0.9010 (Best: 0.9012) | lr: 9.89e-05 | time/epoch: 115.4s
[Epoch 76/120] Train Loss: 0.4688 | Val Loss: 0.6465 (EMA) | Val Acc: 0.9004 (Best: 0.9012) | lr: 9.52e-05 | time/epoch: 115.1s
[Epoch 77/120] Train Loss: 0.4589 | Val Loss: 0.6469 (EMA) | Val Acc: 0.8999 (Best: 0.9012) | lr: 9.14e-05 | time/epoch: 115.5s
[Epoch 78/120] Train Loss: 0.4623 | Val Loss: 0.6456 (EMA) | Val Acc: 0.9018 (Best: 0.9012) | lr: 8.77e-05 | time/epoch: 115.2s
[Epoch 79/120] Train Loss: 0.4553 | Val Loss: 0.6462 (EMA) | Val Acc: 0.9020 (Best: 0.9018) | lr: 8.41e-05 | time/epoch: 115.3s
[Epoch 80/120] Train Loss: 0.4552 | Val Loss: 0.6472 (EMA) | Val Acc: 0.9012 (Best: 0.9020) | lr: 8.05e-05 | time/epoch: 115.8s
[Epoch 81/120] Train Loss: 0.4536 | Val Loss: 0.6453 (EMA) | Val Acc: 0.9020 (Best: 0.9020) | lr: 7.69e-05 | time/epoch: 115.1s
[Epoch 82/120] Train Loss: 0.4476 | Val Loss: 0.6455 (EMA) | Val Acc: 0.9020 (Best: 0.9020) | lr: 7.34e-05 | time/epoch: 115.7s
[Epoch 83/120] Train Loss: 0.4441 | Val Loss: 0.6451 (EMA) | Val Acc: 0.9018 (Best: 0.9020) | lr: 7.00e-05 | time/epoch: 116.8s
[Epoch 84/120] Train Loss: 0.4443 | Val Loss: 0.6443 (EMA) | Val Acc: 0.9034 (Best: 0.9020) | lr: 6.66e-05 | time/epoch: 116.0s
[Epoch 85/120] Train Loss: 0.4481 | Val Loss: 0.6441 (EMA) | Val Acc: 0.9010 (Best: 0.9034) | lr: 6.33e-05 | time/epoch: 115.7s
[Epoch 86/120] Train Loss: 0.4410 | Val Loss: 0.6436 (EMA) | Val Acc: 0.9010 (Best: 0.9034) | lr: 6.00e-05 | time/epoch: 116.4s
[Epoch 87/120] Train Loss: 0.4393 | Val Loss: 0.6444 (EMA) | Val Acc: 0.9039 (Best: 0.9034) | lr: 5.68e-05 | time/epoch: 116.5s
[Epoch 88/120] Train Loss: 0.4379 | Val Loss: 0.6443 (EMA) | Val Acc: 0.9044 (Best: 0.9039) | lr: 5.37e-05 | time/epoch: 116.0s
[Epoch 89/120] Train Loss: 0.4366 | Val Loss: 0.6447 (EMA) | Val Acc: 0.9036 (Best: 0.9044) | lr: 5.07e-05 | time/epoch: 116.3s
[Epoch 90/120] Train Loss: 0.4339 | Val Loss: 0.6449 (EMA) | Val Acc: 0.9042 (Best: 0.9044) | lr: 4.77e-05 | time/epoch: 116.8s
[Epoch 91/120] Train Loss: 0.4336 | Val Loss: 0.6449 (EMA) | Val Acc: 0.9052 (Best: 0.9044) | lr: 4.48e-05 | time/epoch: 117.6s
[Epoch 92/120] Train Loss: 0.4346 | Val Loss: 0.6440 (EMA) | Val Acc: 0.9068 (Best: 0.9052) | lr: 4.20e-05 | time/epoch: 117.3s
[Epoch 93/120] Train Loss: 0.4313 | Val Loss: 0.6444 (EMA) | Val Acc: 0.9047 (Best: 0.9068) | lr: 3.92e-05 | time/epoch: 116.5s
[Epoch 94/120] Train Loss: 0.4282 | Val Loss: 0.6447 (EMA) | Val Acc: 0.9055 (Best: 0.9068) | lr: 3.66e-05 | time/epoch: 136.5s
[Epoch 95/120] Train Loss: 0.4266 | Val Loss: 0.6445 (EMA) | Val Acc: 0.9058 (Best: 0.9068) | lr: 3.40e-05 | time/epoch: 158.4s
